name,alpha2,alpha3,ccTLD,countryCallingCodes,currencies,ioc,languages,status
British Antarctic Territory,BQ, ATB,,,,,,user assigned
Burma,BU,BUR,,,,,,user assigned
Byelorussian SSR,BY,BYS,,,,,,user assigned
Canton and Enderbury Islands,CT,CTE,,,,,,user assigned
Czechoslovakia,CS,CSK,,,,,,user assigned
Dahomey,DY,DHY,,,,,,user assigned
Dronning Maud Land,NQ,ATN,,,,,,user assigned
East Timor,TP,TMP,,,,,,user assigned
French Afar and Issas,AI,AFI,,,,,,user assigned
French Southern and Antarctic Territories,FQ,ATF,,,,,,user assigned
German Democratic Republic,DD,DDR,,,,,,user assigned
Gilbert and Ellice Islands,GE,GEL,,,,,,user assigned
Johnston Island,JT,JTN,,,,,,user assigned
Midway Islands,MI,MID,,,,,,user assigned
Netherlands Antilles,AN,ANT,,,,,,user assigned
Neutral Zone,NT,NTZ,,,,,,user assigned
New Hebrides,NH,NHB,,,,,,user assigned
"Pacific Islands, Trust Territory of the",PC,PCI,,,,,,user assigned
Panama Canal Zone,PZ,PCZ,,,,,,user assigned
Serbia and Montenegro,CS,SCG,,,,,,user assigned
Sikkim,SK,SKM,,,,,,user assigned
Southern Rhodesia,RH,RHO,,,,,,user assigned
U.S. Miscellaneous Pacific Islands,PU,PUS,,,,,,user assigned
Upper Volta,HV,HVO,,,,,,user assigned
"Viet-Nam, Democratic Republic of",VD,VDR,,,,,,user assigned
Wake Island,WK,WAK,,,,,,user assigned
"Yemen, Democratic",YD,YMD,,,,,,user assigned
Yugoslavia,YU,YUG,,,,,,user assigned
Zaire,ZR,ZAR,,,,,,user assigned
